SYMB,DATE,HORA,VWAP
MMM,2020-10-15,10:00:00,166.4631
MMM,2020-10-15,10:05:00,166.5266
MMM,2020-10-15,10:10:00,166.6038
MMM,2020-10-15,10:15:00,166.7128
MMM,2020-10-15,10:20:00,166.7713
MMM,2020-10-15,10:25:00,166.7899
MMM,2020-10-15,10:30:00,166.8014
MMM,2020-10-15,10:35:00,166.8205
MMM,2020-10-15,10:40:00,166.8714
MMM,2020-10-15,10:45:00,166.9071
MMM,2020-10-15,10:50:00,166.9142
MMM,2020-10-15,10:55:00,166.9199
MMM,2020-10-15,11:00:00,166.9319
MMM,2020-10-15,11:05:00,166.9423
MMM,2020-10-15,11:10:00,166.9543
MMM,2020-10-15,11:15:00,166.9717
MMM,2020-10-15,11:20:00,166.9874
MMM,2020-10-15,11:25:00,167.0029
MMM,2020-10-15,11:30:00,167.0145
MMM,2020-10-15,11:35:00,167.0284
MMM,2020-10-15,11:40:00,167.0407
MMM,2020-10-15,11:45:00,167.0513
MMM,2020-10-15,11:50:00,167.0637
MMM,2020-10-15,11:55:00,167.1064
MMM,2020-10-15,12:00:00,167.1306
MMM,2020-10-15,12:05:00,167.1516
MMM,2020-10-15,12:10:00,167.1603
MMM,2020-10-15,12:15:00,167.1861
MMM,2020-10-15,12:20:00,167.2032
MMM,2020-10-15,12:25:00,167.2248
MMM,2020-10-15,12:30:00,167.261
MMM,2020-10-15,12:35:00,167.2862
MMM,2020-10-15,12:40:00,167.3071
MMM,2020-10-15,12:45:00,167.3322
MMM,2020-10-15,12:50:00,167.361
MMM,2020-10-15,12:55:00,167.3959
MMM,2020-10-15,13:00:00,167.4392
MMM,2020-10-15,13:05:00,167.4774
MMM,2020-10-15,13:10:00,167.4912
MMM,2020-10-15,13:15:00,167.5089
MMM,2020-10-15,13:20:00,167.5279
MMM,2020-10-15,13:25:00,167.5544
MMM,2020-10-15,13:30:00,167.5723
MMM,2020-10-15,13:35:00,167.5961
MMM,2020-10-15,13:40:00,167.6166
MMM,2020-10-15,13:45:00,167.6385
MMM,2020-10-15,13:50:00,167.6532
MMM,2020-10-15,13:55:00,167.665
MMM,2020-10-15,14:00:00,167.6878
MMM,2020-10-15,14:05:00,167.6984
MMM,2020-10-15,14:10:00,167.7123
MMM,2020-10-15,14:15:00,167.7401
MMM,2020-10-15,14:20:00,167.7686
MMM,2020-10-15,14:25:00,167.7839
MMM,2020-10-15,14:30:00,167.7987
MMM,2020-10-15,14:35:00,167.8222
MMM,2020-10-15,14:40:00,167.8471
MMM,2020-10-15,14:45:00,167.8635
MMM,2020-10-15,14:50:00,167.8825
MMM,2020-10-15,14:55:00,167.8998
MMM,2020-10-15,15:00:00,167.9115
MMM,2020-10-15,15:05:00,167.929
MMM,2020-10-15,15:10:00,167.9448
MMM,2020-10-15,15:15:00,167.9603
MMM,2020-10-15,15:20:00,167.9738
MMM,2020-10-15,15:25:00,167.99
MMM,2020-10-15,15:30:00,168.0084
MMM,2020-10-15,15:35:00,168.0257
MMM,2020-10-15,15:40:00,168.0411
MMM,2020-10-15,15:45:00,168.0719
MMM,2020-10-15,15:50:00,168.0966
MMM,2020-10-15,15:55:00,168.1322
MMM,2020-10-15,16:00:00,168.2502
MMM,2020-10-15,16:05:00,168.2879
MMM,2020-10-16,07:05:00,170.0
MMM,2020-10-16,08:05:00,169.7183
MMM,2020-10-16,08:25:00,169.5934
MMM,2020-10-16,08:35:00,169.4086
MMM,2020-10-16,08:40:00,169.3965
MMM,2020-10-16,08:45:00,169.3857
MMM,2020-10-16,08:55:00,169.3621
MMM,2020-10-16,09:00:00,169.3692
MMM,2020-10-16,09:20:00,169.3717
MMM,2020-10-16,09:25:00,169.3748
MMM,2020-10-16,09:30:00,169.7622
MMM,2020-10-16,09:35:00,169.9807
MMM,2020-10-16,09:40:00,169.9561
MMM,2020-10-16,09:45:00,169.9523
MMM,2020-10-16,09:50:00,169.9538
MMM,2020-10-16,09:55:00,169.9691
MMM,2020-10-16,10:00:00,170.0393
